character,line
Halsin,Hmm. Sometimes a mysterious cure is worse than the disease.
Halsin,This will help you.
Halsin,"He's still fighting. The curse hasn't won yet, but he'll need our help if he's to recover."
Halsin,Moving to position.
Halsin,What were you expecting? That I'd mumble a spell or whip out a potion?
Halsin,"In fact, I saw just the sort before, not long after we first came within reach of the shadow curse. Fool that I am, I did not grasp their significance at the time."
Halsin,"Look for signs of life in the darkness. Wildflowers, where everything else is dead. The curse cannot subdue the power Thaniel bears. Not entirely."
Halsin,"No matter how it's been twisted by the shadows, it is still part of Thaniel's essence - it will resemble him somehow, and may show signs of his power."
Halsin,"Take heart, my friend."
Halsin,"Only, the missing half may not come willingly. The curse will have sunk its tendrils deep, twisting Thaniel's essence into something... else."
Halsin,"Perhaps - if we can find Thaniel's lost half, and make him whole again."
Halsin,"It's both simple and not - we need to find Thaniel's missing half, and make him whole again. "
Halsin,"What stayed behind would have been the strongest part of him, but after all these years left in darkness, corruption must have taken hold."
Halsin,"The shadows rended him in two when they bore him away to the Shadowfell. Half of his essence remained here, amidst the curse. "
Halsin,Thaniel is resting - but it's no easy slumber. I discovered what's wrong with him.
Halsin,You wish to speak?
Halsin,I swear I can already feel a change in the air - like the curse itself knows its time is short.
Halsin,We need to find Oliver and get him to return to Thaniel. Otherwise this curse will never be lifted.
Halsin,"A haunting has come upon you, but the first step is this admission you have now made. You will not walk alone into this night, remember that."
Halsin,"If I had my fleet of druids and a month of hard research, perhaps I could help. But I'm no savant, for now I can only guarantee a cure for ceremorphosis."
Halsin,"The Oak Father must have blessed you to make it this far, or another eye above."
Halsin,Good lad. You're tougher than Blackwood.
Halsin,Good lass. You're tougher than Blackwood.
Halsin,"I believe you when you tell me that your symptoms do not wholly align with the makings of the parasite. But until we remove it, I doubt we will be able to isolate the rest of your troubles."
Halsin,"Do I note some trepidation? Spirits are but echoes of nature's cycle. Most give no cause to elicit fear... most, but not all."
Halsin,"I am here to be your ear, as you bear your burdens, and the arms that protect you, if you can shoulder them no more."
Halsin,"Everything in your mind has been destroyed, from what I gathered. And from the path I see you on, you are doing well at picking up the pieces."
Halsin,"Is that so? Well, nature does abhor waste... I will keep watch, thank you. I had a feeling time in your company would prove fruitful."
Halsin,"That is a truth that can evade minds far older than yours, Wyll. You are wise beyond your years."
Halsin,Of course. Whatever you wish.
Halsin,A bad impression? Impossible.
Halsin,"There is a ruin, some way outside of Last Light. I caught a glimpse of fresh blooms there, but did not investigate further. I shall mark it upon your map."
Halsin,"I was. Part of my spirit was shorn away from me here, and never left."
Halsin,I won't be held accountable just because you're naive enough to expect easy answers. Now allow me to continue.
Halsin,Wait. There's more you need to know.
Halsin,You could use this.
Halsin,This will provide a lift.
Halsin,"Allow me, my friend."
Halsin,"Onward then. We'll speak soon, I'm sure."
Halsin,"This doesn't have to be your burden alone. Every moment counts, and I've asked much of you already without being at your side."
Halsin,"It may be some time before you are afforded another such night - there is much to be done, and I promised I would help you however I could."
Halsin,"I'm certain a cure for you can be found at Moonrise Towers, but it's... complicated."
Halsin,"The journey, specifically - it's extremely perilous. Though it seems you're well accustomed to navigating danger."
Halsin,"This curse shrouds everything in shadow - you will not find life, light or anything natural there."
Halsin,"You're half-right - you have to get to Moonrise, but you still have a choice of how to get there."
Halsin,"If you can find this place, I'll wager it will reveal a more direct path to Moonrise Towers, and may even bypass the worst of the shadow curse."
Halsin,"I would like to join your camp, if you'll allow me. I can offer my skills, my counsel."
Halsin,I've long sought to return to Moonrise Towers. It seems our fates have aligned.
Halsin,"I advise you start in the temple of Selûne - if you find the Dark Justiciars' hidden entrance, it could lead you all the way to Moonrise."
Halsin,May Silvanus guide us.
Halsin,"Unfinished business, and a lifetime of regret to repair."
Halsin,"If I can join you and get close to Moonrise, perhaps I can lift this curse, same as you may find a cure for your infection."
Halsin,"It's lost to me. Perhaps in time I can open it up to the world again, but for now, I must help you."
Halsin,I've chosen a successor as First Druid - Francesca of the High Forest. A bird's already been dispatched to summon her.
Halsin,A fellow druid. I can count on her to tend to the grove in my absence. Help it heal.
Halsin,"Rath has promise, but he has a ways to go yet. He wasn't able to stop Kagha by himself. The grove needs experience and a strong hand."
Halsin,I must get into position.
Halsin,"Silvanus, banish all wounds."
Halsin,"Now, we've quite the journey ahead. Best get started."
Halsin,Indeed. We've quite the journey ahead of us.
Halsin,Stay strong - I need you.
Halsin,You'll need to pick up where Aradin left off - find the hidden entrance. It's somewhere in the temple of Selûne.
Halsin,"What, were you expecting a spell? A potion? Or perhaps you thought I'd conduct a cack-handed operation on you right here."
Halsin,Many who deserved an honourable burial had to be abandoned. The shadow curse inspired great haste.
Halsin,Perhaps... but best to not dwell on nights past. There are plenty more yet to come.
Halsin,"Pilfering it is, then."
Halsin,Miss it? Oh dear no. It's a terrible burden; takes you away from nature and forces you to deal with others' problems and personalities.
Halsin,On the move.
Halsin,"A dwarf called Brian, I believe. Though there's no guarantee that the goblins left him recognisable."
Halsin,I must not stop.
Halsin,I see. At once.
Halsin,"Oak Father, guide me."
Halsin,Must keep going.
Halsin,One of those who died had a clue that was supposed to help us find the hidden entrance to the Underdark.
Halsin,"But in my eagerness, I put far too much faith in the abilities of Aradin and his band. We didn't even get close."
Halsin,I cannot falter.
Halsin,Precisely. Then perhaps I could have done something about both the shadow curse and ceremorphosis aberrations.
Halsin,Put it from your mind for now. Once we near the curse - then there will be more to be said.
Halsin,"Perhaps, but we'll need to get closer before I can put my theory into practice."
Halsin,"...But since the curse was unleashed, I have not felt his presence. He is its prisoner, I fear. And as long as he remains so, his domain will lie in darkness."
Halsin,"This land is more than just soil and rock, root and leaf... it is a living being, in the form of a young fey boy, with the forest itself in his eyes. His name is Thaniel - I've met him, in my meditations. "
Halsin,"Oak Father shield you, my friend."
Halsin,"Don't worry - if you find something, you will know it."
Halsin,"I can't be exact, unfortunately. Time and the shadow curse won't have been kind to any traces that would have been left behind."
Halsin,"But if we can find him, we can break the curse. If you learn anything of the Shadowfell, or of a boy with the forest in his eyes, find me at once."
Halsin,"We must find Thaniel. He is the embodiment of nature's power, but... but he is just a child. A child who has been trapped in this place for a hundred years."
Halsin,"Accept nature's healing, my friend."
Halsin,I will go to see him at once. Join me when you can.
Halsin,"Thaniel is no ordinary child - he is the very spirit of this land. If this Fist knows where he is, then perhaps we can save him... save everything."
Halsin,"Perhaps there's still a way to learn something from him - the dead can't deny their knowledge, if asked the right question."
Halsin,"Poor soul... but in truth, if I had to choose between death and the Shadowfell, I'd choose death."
Halsin,What comes next will prove dangerous. Meet me by the shore outside Last Light - we can do our work there without imperilling others.
Halsin,"Good - this is what we've been lacking. Now there's a chance we can find Thaniel, and bring him home."
Halsin,I must reach there.
Halsin,No time to spare.
Halsin,I'm just glad to be out here amidst the Oak Father's creations.
Halsin,I'd rather the shadow curse didn't linger just beyond the campfire... but your company more than makes up for it.
Halsin,Surely none but a boiled turnip would trust the likes of him.
Halsin,"In other circumstances, I would have done the same."
Halsin,Let me see what can be taken.
Halsin,There are few things that are too strong for me. And cast those regrets aside; you did not get caught up in the moment - you seized it.
Halsin,"I'm sure something will come to me, given time."
Halsin,Is such an existence lacking?
Halsin,"I'll miss my books, but I can find all the wisdom they contain out here, first-hand."
Halsin,"Wonderfully! If I'm honest, the grove was too comfortable for my tastes; I felt removed from nature."
Halsin,With such stimulating company? Never better.
Halsin,Prudent. But I hope we won't have to contend with the perils of the curse for long. There's more to living than just survival. Much more.
Halsin,"But... if I succeed, if I break the curse, then perhaps there will be time for myself again. And for others."
Halsin,"I can think of a thing or two... but in truth, it is for the best that the curse consumes my thoughts for now. This is the best chance I've had in a century - I cannot squander it."
Halsin,More good has been done since I met you than in a hundred years before. Words cannot express my gratitude.
Halsin,A little reinvigoration is in order.
Halsin,"It is most unfair to pour such scorn on rats - they have their place in nature, same as you or I. "
Halsin,You're too modest by far. What fate would I have met without you? Rotting in the goblins' cells? Dying against an onslaught on the Grove?
Halsin,"...Forgive me. Sometimes I forget myself, gazing on the beauty of nature's creations."
Halsin,Yes. I think you do...
Halsin,Perhaps if I manage to break the curse... perhaps then I can show you just how grateful I am.
Halsin,"I can think of a thing or two... but the curse grips my mind for now, and I would loathe to give you only part of my attention."
Halsin,"A light step, and a lighter touch."
Halsin,"I wish I could have found another fate for the Grove, but I appreciate all you have done for me nonetheless."
Halsin,I can only imagine what fate would I have met without you -rotting in the goblins' cells? Being sealed away by the Rite of Thorns for all eternity?
Halsin,A light touch is in order.
Halsin,Gently does it...
Halsin,"You've shared your fire with me, your company. A small pocket of light against the darkness, but one I couldn't do without. Thank you."
Halsin,"It's not easy, seeing the ravages of the shadow curse... but your camp is a most welcome solace."
Halsin,Let me see what I can claim.
Halsin,Deftness is called for.
Halsin,Low and quiet.
Halsin,It allowed me to see you. Truly see you. I have lived a very long time. I have taken many lovers. My heart does not stir lightly. But it does now.
Halsin,There? Very well.
Halsin,I shall see you on your feet again.
Halsin,"At least you were not present. Grim as it is now, it was worse on the day of the battle. A vivid wound upon my memory."
Halsin,"I cannot leave you like this, love."
Halsin,"I shall help, my love."
Halsin,Battle is afoot - you can poke me once we are safe.
Halsin,Perhaps try attacking the enemy?
Halsin,"Admirable stamina, yet terrible priorities."
Halsin,"You are insistent, are you not?"
Halsin,"Up to me to help, of course..."
Halsin,Show more care in future.
Halsin,"Hardly deserving of aid, but very well."
Halsin,Not a task I relish...
Halsin,"It must be done, I suppose."
Halsin,Do not make a habit of this.
Halsin,Help is coming. Even if undeserved...
Halsin,"In nature, you would be left to fend for yourself..."
Halsin,Up! Make yourself useful!
Halsin,"Damn you, do not cost us victory!"
Halsin,This is no time for slacking.
Halsin,"Come on, up!"
Halsin,I am not your servant.
Halsin,I am not here just to help you.
Halsin,This is no time for weakness.
Halsin,"Oak Father, what did I do to deserve such allies?"
Halsin,"Keep up, will you?"
Halsin,"I was lucky - I lived, when so many did not. It would take me a day and a night to recite the names of all the friends I lost."
Halsin,"Oak Father, grant me patience."
Halsin,"Hold on, my friend."
Halsin,Whatever I can do to help.
Halsin,"You may thrive, but what of other life? A city is no place for wild creatures."
Halsin,"Brickwork and stonework - this place is far out of balance with nature. But the Oak Father will reclaim this all, eventually."
Halsin,"I doubt many will seek to surrender. But if they do... mercu costs us nothing, Karlach."
Halsin,"Oh no, perish the thought. That can be outright cruel advice to offer in certain cases."
Halsin,Dispensing advice on matters of the heart would be like swapping boots - what suits me may be a poor fit for you.
Halsin,Perhaps I can yet turn hindsight into foresight - provided the curse is lifted. A better way for all.
Halsin,"To think, long ago, the druids feared this market town would grow into a city, and threaten nature's realm... little did we realise what the true threat was."
Halsin,"Peace and rest are strangers in these lands, until the shadows are banished."
Halsin,"Normally such sounds would be most welcome, but perhaps not right now..."
Halsin,"Yes, you are right. He is one sort I would rather seal away forever, to prevent his rot from causing any further harm."
Halsin,To seal away that which a person no longer needs is to lessen the Oak Father's bounty for all.
Halsin,"Do not worry, I am here."
Halsin,"Allow me, please."
Halsin,"I never favoured tombs - nothing but vanity. Upon death, mortal remains should be returned to nature, to nourish and replenish itself."
Halsin,"Flaming Fists, Harpers, refugees, perhaps... The shadow curse has indiscriminate taste in victims."
Halsin,"Still though, when you are expecting nothing but desolation, even a small glimmer of hope fills the heart."
Halsin,"Last Light Inn - hearth aglow and lanterns lit, just like a hundred years ago!"
Halsin,"I... I suppose it is, yes. But perhaps do not refer to her as such - she is a vengeful, capricious goddess. Who knows what may cause her ire."
Halsin,"What do you know of Umberlee, Astarion?"
Halsin,Jest all you will. I believe now in your honest heart.
Halsin,"Astarion, I am astonished. To relish in intimacy again after such hardship is a wound many never recover from."
Halsin,"For your sake, I hope some of it is just a fantasy, deep in your heart."
Halsin,"To give oneself wholly, and to have a lover totally in your thrall...? A harmless game, until it becomes real. I worry for the two of you, Astarion."
Halsin,Clandestine aid is on the way.
Halsin,"Then let it brew. Some radical thinkers claim that peace is a valid option, you know."
Halsin,I am here to help.
Halsin,"Do not be a liability, please!"
Halsin,"Oak Father, guide my hand."
Halsin,All shall fall before nature's fury.
Halsin,"Now, what shall I find?"
Halsin,"I shall help you, my love."
Halsin,"You are wounded, my heart."
Halsin,"Fret not, you shall soon be back to health."
Halsin,I shall tend to you. Worry not.
Halsin,"I shall restore you, my love."
Halsin,"I am coming for you, my love."
Halsin,Allow me to salve you.
Halsin,I fight for the Oak Father's realm.
Halsin,The power of the bear lies within me.
Halsin,"Silvanus, let me strike true."
Halsin,"Yield, or die."
Halsin,I shall see you laid low.
Halsin,Some rejuvenation is in order.
Halsin,"Oak Father, let me heal all."
Halsin,In need of aid?
Halsin,To your health.
Halsin,This shall help.
Halsin,"Oak Father, give me your strength."
Halsin,"A helping hand, perhaps?"
Halsin,I shall assist.
Halsin,Help is coming.
Halsin,Let every enemy of nature fall.
Halsin,Someone in need.
Halsin,Help is called for.
Halsin,What lies within?
Halsin,Something to be discovered?
Halsin,"Hmm, what is to be found?"
Halsin,I shall take a look.
Halsin,Let stealth be my weapon.
Halsin,The worms shall feast on nature's foes.
Halsin,I shall die before I yield.
Halsin,I shall prevail.
Halsin,I must protect the Oak Father's realm.
Halsin,I shall see this battle won.
Halsin,"Oak Father, I fight for you."
Halsin,Nature's strength lies within me.
Halsin,I shall not relent.
Halsin,Let nature's enemies lie broken.
Halsin,"The Oak Father watches, always."
Halsin,I stand to serve nature.
Halsin,"Ah, a glimpse of nature. Like a sip of water to parched lips, eh, Jaheira?"
Halsin,What is to be done?
Halsin,I am here.
Halsin,What comes now?
Halsin,"Silvanus, bless me."
Halsin,Nature shall prevail.
Halsin,There are no mistakes in nature. Only hidden purpose.
Halsin,I am prepared.
Halsin,Is something afoot?
Halsin,There is much to be done.
Halsin,The Oak Father compels me.
Halsin,"I am ready, whatever may come."
Halsin,What is it to be?
Halsin,Every day in nature's service is a gift.
Halsin,The Oak Father's bidding shall be done.
Halsin,I think on them also. But nothing matches the splendour of an ancient tree.
Halsin,"You and I may struggle to go unnoticed in such environs, Karlach."
Halsin,"I meant more in terms of size. Folk of our stature can be a lure for drunkards seeking a brawl, I have found."
Halsin,"Scant few times I've seen youthful partnerships end well, but if anyone was formed to thrive in one, I think it may be you."
Halsin,"Very quick to say 'forever' to your newly betrothed, weren't you, Blade?"
Halsin,Take your time. I'll be waiting.
Halsin,"Besides, a large-enough pack of scavengers can take down even the strongest of bears."
Halsin,"Poor choice of companions, for one thing - gladly rectified, since then. "
Halsin,I am loathe to see anyone behind bars. It reminds me of my time as a guest of the goblins.
Halsin,"Are you sure you wish to end the affair so... coldly? Perhaps if you speak to him, he may show an open mind."
Halsin,"When you care about something deeply enough, it consumes every thought and word."
Halsin,"A shrine of Selûne, tucked away like an unsprouted seed."
Halsin,"I need to stay true to my nature, and you to yours. Perhaps you are like me, or perhaps not."
Halsin,"It has its place, but it is not for me. The wolf mates for life, but the bear roams free and partners as its instinct dictates."
Halsin,"After the shadow curse, I became overly fond of honey mead and melancholy evenings by myself. Now I rarely imbibe - only on the most special of occasions."
Halsin,"The scent of hops and barley is most persistent here, even after all this time."
Halsin,"Some treat their relationships like a walled garden - tidy, tamed, cut off from the world. That is their right, but it is not for me. I do as nature does, and let my heart run wild. Desire flourishes wherever it finds purchase."
Halsin,"But know that if you are open to it, I will not demand commitment of you. Your heart is your own - I just want to share in it."
Halsin,"Not so, in my experience. There is little I cannot whittle."
Halsin,The birthing ground of those steel monstrosities. I would feel little sorrow if this place should close forever.
Halsin,"I understand. If that is where the matter ends, so be it."
Halsin,You sound like a student - reciting words for a test without considering their meaning.
Halsin,Shar's armies of destruction arose from within these halls.
Halsin,"True. But you are among friends. Whatever lies ahead, we shall face it together."
Halsin,"I daresay you are no longer comfortable in this place, Shadowheart."
Halsin,"You have bonded with Karlach, body and soul. Her scent lingers on your skin. If there is to be anything between us, it must be with her consent. And perhaps some day, her participation."
Halsin,You bleat well enough as it is.
Halsin,"Once, you could hear nature's symphony in this place. Now it is quiet. Quiet and dead."
Halsin,"Are you sure you wish to end the affair so... coldly? Perhaps if you speak to her, she may show an open mind."
Halsin,So many unfortunates must have been infected in this place. Imagine the horrors...
Halsin,"Are you sure you wish to end the affair so... coldly? Perhaps if you asked, you may find your lover has an open mind."
Halsin,I was concerned perhaps my imagination was playing tricks on me - my stomach was in knots like some lovelorn ninety-year-old.
Halsin,I already knew I had found a strong ally in you - but now I see I have been blessed with a true friend also.
Halsin,"I thought you might, but it still warms my heart to hear you say it."
Halsin,"Ha! I am honoured to be your beast of burden, then."
Halsin,"I did not wish for another day to end without telling you how I felt, and now I have done so. Rest well, and thank you once again."
Halsin,"I see... well, perhaps not all friendships are destined to be balanced and reciprocal. But I remain eternally grateful for having met you, all the same. Rest well."
Halsin,"Ha! I suppose I did, didn't I? I was so focused on helping Thaniel that my sense of decorum was neglected.<br>"
Halsin,I shall endeavour to be more tactful when trying to make friends in future.
Halsin,"I believe so. Perhaps in another life, we would have felt something more stir between us... but that was not meant to be.<br>"
Halsin,"The bond we share remains deeply precious to me, all the same."
Halsin,I want to be more than that to you. I have lived a very long time. I have taken many lovers. My heart does not stir lightly. But it does now.
Halsin,"Truly? I thought you felt the same way as me. There was a connection, I was sure."
Halsin,"But I respect your choice, if that's how you truly feel. Your friendship remains precious to me."
Halsin,"You have bonded with Astarion, body and soul. His scent lingers on your skin. If there is to be anything between us, it must be with his consent. And perhaps some day, his participation."
Halsin,"Truly? I was sure there was a connection, ever since we celebrated after you saved the grove."
Halsin,"Truly? I thought you felt the same as I did - you saw to my needs here in camp with the care of a lover, not a host."
Halsin,"Truly? I was sure we had a connection - you seemed more than a little curious about my current love life, for one."
Halsin,"So, I am not bound to nature. I am unbound in nature."
Halsin,And I've been to the Underdark. Many times.
Halsin,"Like I said, I've lived a long time, travelled far and wide. I've lain with elf maidens under the boughs of oaks. I've had a Nelanther pirate claw my back and cry my name until he was hoarse."
Halsin,"I welcome all of nature's blessings, whether they come to me one at a time, or in multitudes. There is no shame in it."
Halsin,I think you feel the same way. The connection is... palpable.
Halsin,Gortash will be keen to hear of this.
Halsin,Only one Chosen remains. For now.
Halsin,I shall handle this.
Halsin,A simple 'no' would have sufficed. I will trouble you with the matter no more.
Halsin,"I will not ask you to dedicate yourself to me. I roam as nature wills me to, and your heart remains your own. I just wish to share in it."
Halsin,"Truly? I was sure you felt the same way. Once the power of the shadow curse was broken, the connection was undeniable."
Halsin,Every enemy of nature must fall.
Halsin,"More disappointed, I would say.<br>"
Halsin,"You have bonded with Lae'zel, body and soul. Her scent lingers on your skin. If there is to be anything between us, it must be with her consent. And perhaps some day, her participation."
Halsin,I am... less anxious to find myself in a city. So removed from nature's power - I do not know how I will fare.
Halsin,"I cannot leave you in this state, love."
Halsin,Let me get you back in order.
Halsin,I will not leave you like this.
Halsin,"You can rely on me, my heart."
Halsin,"Worry not, my love."
Halsin,I shall not give up on you that easily.
Halsin,"We have lifted the shadow curse, but a new challenge awaits us."
Halsin,I make no apologies for knowing what is important to me.
Halsin,I can only hope we still find time to vanquish the curse. I can think of little else.
Halsin,"I want more than to fight at your side, or sit around the campfire with you. I want to lay with you under the stars and feel your skin against mine."
Halsin,"A council of intellectuals, respected throughout Faerûn - leading authorities on heraldry of course, but also history, genealogy, and diplomacy."
Halsin,"This fortress was a seat of the High Heralds, I believe. Long gone from here, of course. "
Halsin,I have lived a very long time. I have taken many lovers. My heart does not stir lightly. But it does now.
Halsin,I don't discriminate against any type.
Halsin,"I knew one of Reithwin's head masons. She was a good woman, and strong as an ox."
Halsin,You're too modest. I wager you don't even know how extraordinary you truly are. But I do.
Halsin,"...I was forgetting who I was, but you lifted the fog. Thank you."
Halsin,"I never quite realised how burdened I was, until I met you. The threat of the shadow curse, the politics of the grove..."
Halsin,"They forget how much I study, meditate, and as a bear - hibernate. I must have spent a hundred years or more asleep."
Halsin,"Hailing from the Underdark can dampen one's sense of fun, I will admit. Down there, noises such as laughter tend to attract predators."
Halsin,"There is an admirable harmony to the Society of Brilliance. Beings of all sorts, united in the pursuit of intellect..."
Halsin,We are. Yet there is a burden to being the survivor... the witness to others' tragedies. It only grows heavier with time.
Halsin,"All gone... devoured by the shadows. Oak Father preserve us, it's just like a hundred years ago."
Halsin,A few. But people always warm to the most salacious chapters. 
Halsin,This will leave a mark.
Halsin,This shall prove fearsome in battle.
Halsin,Better be careful where I point this...
Halsin,A little extra bite.
Halsin,"You have bonded with Gale, body and soul. His scent lingers on your skin. If there is to be anything between us, it must be with his consent. And perhaps some day, his participation."
Halsin,"You know, if you and your love ever wish to enjoy the waters with me, I could attempt a kelpie... or even a porpoise."
Halsin,"I heard you learnt how to swim, Shadowheart - well done."
Halsin,"You have bonded with Shadowheart, body and soul. Her scent lingers on your skin. If there is to be anything between us, it must be with her consent. And perhaps some day, her participation."
Halsin,"True... but only until the thaw, then life goes on. This gold may never see daylight again, while others go cold and hungry."
Halsin,Such hoarding of wealth. A tomb for riches that could be put to better use.
Halsin,"You have bonded with Wyll, body and soul. His scent lingers on your skin. If there is to be anything between us, it must be with his consent. And perhaps some day, his participation."
Halsin,"Danger, going by past experience. A cursed tome. An unstable spell. A haunted poppet..."
Halsin,"This place reminds me of a magpie's nest. Random baubles, doodahs, and what-have-yous, all jumbled together without a care."
Halsin,"But tell me I'm wrong, and the matter can rest. I do not wish to sour our friendship, but I have to know if it can be something more."
Halsin,I think you feel the same way. Do you remember the celebrations after you saved the grove? There was a connection.
Halsin,I was concerned that your pursuit of a cure might cloud your final days. I am glad I was wrong.
Halsin,"I heard what took place at Selûne's shrine, Shadowheart. Was such defilement truly necessary?"
Halsin,"Nature affords us few greater powers of healing than what love can provide, Karlach."
Halsin,"Indeed. But I just wanted to take the chance to say - it has been a pleasure, Karlach."
Halsin,I cannot help but feel that destiny is tightening its grip on our forward path.
Halsin,"I think you feel the same way - you saw to my needs here in camp with the care of a lover, not a host."
Halsin,I think you feel the same way - why else would you have been so concerned about whether I had a lover before?
Halsin,Let me see to that.
Halsin,Make some effort.
Halsin,Do not go soft on me now!
Halsin,"Keep it up, damn you!"
Halsin,Do not squander this.
Halsin,Come on!
Halsin,Stand up for yourself.
Halsin,A welcome edge.
Halsin,"I think you feel the same way. Once the power of the shadow curse was broken, the connection was undeniable. We both felt it."
Halsin,There? Of course.
Halsin,This will help.
Halsin,You need aid.
Halsin,Allow me to bolster you.
Halsin,"Do what you must, Gale. Mystra has weighed upon your heart and mind for too long."
Halsin,"May I be unseen, like nature's smallest creatures."
Halsin,Time to conceal myself.
Halsin,Unseen. Nature shields me.
Halsin,I must hide.
Halsin,I am coming for you.
Halsin,You are needed.
Halsin,We need you in the fight.
Halsin,This is  not over yet.
Halsin,I am here for you.
Halsin,Hold on.
Halsin,Keep strong.
Halsin,May the carrion birds grow fat on you.
Halsin,I must be without mercy.
Halsin,Hmm. A challenging sum. The chimera has three heads... but does it still count as one?
Halsin,Kill... yes.
Halsin,I need you strong.
Halsin,"Please, let me help."
Halsin,I must be as the snake - low and quiet.
Halsin,"Speak your mind, Gale. Let go of that weight you have been carrying for Mystra."
Halsin,"Please, you need this."
Halsin,Down I go...
Halsin,Do not squander this aid.
Halsin,I had better help.
Halsin,"Let me aid you, ,my heart."
Halsin,We shall carry the day.
Halsin,I shall aid you.
Halsin,"You need this, my love."
Halsin,"Of course, it had to be you."
Halsin,"Not very self-reliant, are you?"
Halsin,Scarcely worth the effort.
Halsin,Stealth is in order.
Halsin,"Oak Father, let me go unnoticed."
Halsin,Quite a bulk to conceal...
Halsin,I shall avoid every gaze.
Halsin,Allow me to speak.
Halsin,"Of course, my heart."
Halsin,Whatever you wish.
Halsin,"Of course, my love."
Halsin,Let me see to that for you.
Halsin,Whatever you need.
Halsin,"At once, my love."
Halsin,You wish me to go speak? Of course.
Halsin,Of course. Though I'd rather be speaking to you...
Halsin,I shall see to it.
Halsin,What do we have here?
Halsin,I shall investigate.
Halsin,Let me see...
Halsin,We're all in one piece. Perhaps you'll join us next time.
Halsin,Better see to this.
Halsin,"Worth a look, perhaps."
Halsin,"Oak Father,  guide my aid."
Halsin,Do not give up.
Halsin,Do  not give up yet.
Halsin,"Nature shall be defended, at any cost."
Halsin,"Yours are not the hands in which I would have placed such terrible power. Think carefully on your next action, please."
Halsin,Let our enemies' corpses nourish the ground.
Halsin,Let none see me.
Halsin,"Worry not, I shall help you."
Halsin,Hold tight.
Halsin,"I hear the gods enjoy taking on the form of swans, horses, eagles and the like when visiting with mortals."
Halsin,The power of nature flows through me.
Halsin,If you are sure aid is deserved...
Halsin,"Only a truly callous heart could refuse. Besides, our little abode could use a child's laughter."
Halsin,Almost wasted effort.
Halsin,"Well, it seems you have little fear of adventure of any sort, do you?"
Halsin,Indeed it does. Did you never experience such delights with Mystra? 
Halsin,Better see what is inside.
Halsin,"But that said, don't allow me to talk myself out of a night to remember all the time..."
Halsin,Need to open this.
Halsin,"An intriguing prospect, for sure... but I'm glad you've shown yourself to be comfortable in exploring without me. Sharing is important, but some things should be just for you."
Halsin,Nature blesses my gait with purpose.
Halsin,Allow me to help.
Halsin,Allow me to strengthen you.
Halsin,A little help is in order.
Halsin,This will serve you well.
Halsin,A discreet boost is in order.
Halsin,"A pick-me-up, if you will."
Halsin,You need healing.
Halsin,The battle is not won yet.
Halsin,Don't give up now.
Halsin,Stay strong.
Halsin,Fear not. Nothing is indestructible when nature's full fury is unleashed.
Halsin,"Oak Father, avert all eyes from me..."
Halsin,Let me strike true.
Halsin,Help is on the way.
Halsin,"Oak Father, harden my heart."
Halsin,None can withstand nature's wrath.
Halsin,"Silvanus, guide my blows."
Halsin,Let us see the battle won.
Halsin,The scent of blood is in the air.
Halsin,Do not relent.
Halsin,Enemies afoot.
Halsin,Nature's fury shall not be checked.
Halsin,I shall not yield.
Halsin,"Whatever may come, I stand ready."
Halsin,Enemies abound.
Halsin,"Oak Father, shield your servant."
Halsin,Leave it to me.
Halsin,"Well done - I knew your true nature remained, beneath those dark impulses. You are your true self, at last."
Halsin,No. It was everything.
Halsin,I shall never relent.
Halsin,Fear not.
Halsin,I shall not rest.
Halsin,I shall help.
Halsin,Aid is coming.
Halsin,There shall be no mercy.
Halsin,Here to help.
Halsin,"Have no fear, I am coming."
Halsin,None shall defeat me.
Halsin,I have nature's fury on my side.
Halsin,None shall withstand me.
Halsin,We shall prevail.
Halsin,"Do not worry, my heart."
Halsin,"Hold on, my love. For me."
Halsin,"Worry not, my heart."
Halsin,"Oak Father, guide my step."
Halsin,It shall be so.
Halsin,I shall go.
Halsin,There I shall be.
Halsin,Over I go.
Halsin,Better move.
Halsin,Here I go.
Halsin,If that is where I am needed.
Halsin,Better take this.
Halsin,Must not leave this behind.
Halsin,I shall take this.
Halsin,Ought to take this.
Halsin,May be of  use.
Halsin,This could be important. Or not.
Halsin,How clandestine.
Halsin,I shall go speak.
Halsin,I shall see to this.
Halsin,"A quiet word, then."
Halsin,A waste of resources.
Halsin,Do not cost us victory.
Halsin,Get up and fight.
Halsin,Try be less of a burden.
Halsin,Do not take this for granted.
Halsin,"No point in dawdling, I suppose."
Halsin,I better see to it.
Halsin,Over there? Of course.
Halsin,The very spot.
Halsin,Making my way.
Halsin,Over there? So be it.
Halsin,This will heal you.
Halsin,This will salve you.
Halsin,"I need you, my love."
Halsin,I will not go on without you.
Halsin,"Hold on, my love."
Halsin,"Hold on,  my heart."
Halsin,"I shall help you, my heart."
Halsin,I need you by my side.
Halsin,I need you in this fight.
Halsin,"I shall aid you, my love."
Halsin,I need you vitalised.
Halsin,Better get this open.
Halsin,Hmm.
Halsin,Need this unlocked.
Halsin,Consider it unlocked.
Halsin,I shall see it unlocked.
Halsin,Let me get this open. 
Halsin,This lock will yield soon enough.
Halsin,Better get this unlocked...
Halsin,"Have no fear, my love."
Halsin,"With haste, my love."
Halsin,I shall not leave you like this.
Halsin,Let me get this open...
